Experiment,Treatment,DOL,Lifestage,Tray,Weight_mg
R3,Large,18DOL,pupal,13,99.9
R3,Large,18DOL,pupal,13,99.4
R3,Large,18DOL,pupal,13,105.6
R3,Large,18DOL,pupal,13,111.4
R3,Large,18DOL,pupal,13,101.8
R3,Large,18DOL,pupal,13,101.4
R3,Large,18DOL,pupal,13,103.3
R3,Large,18DOL,pupal,13,109.8
R3,Large,18DOL,pupal,13,108.8
R3,Large,18DOL,pupal,13,113.5
R3,Large,18DOL,pupal,13,99.8
R3,Large,18DOL,pupal,13,106
R3,Large,18DOL,pupal,13,108.5
R3,Large,18DOL,pupal,13,111.3
R3,Large,18DOL,pupal,13,116.2
R3,Large,18DOL,pupal,13,108.5
R3,Large,18DOL,pupal,13,95.8
R3,Large,18DOL,pupal,13,98.5
R3,Large,18DOL,pupal,13,103.2
R3,Large,18DOL,pupal,13,100.3
R3,Large,18DOL,pupal,13,111.2
R3,Large,18DOL,pupal,13,111.7
R3,Large,18DOL,pupal,13,121.5
R3,Large,18DOL,pupal,13,100.5
R3,Large,18DOL,pupal,13,111
R3,Large,18DOL,pupal,13,90.9
R3,Large,18DOL,pupal,13,114
R3,Large,18DOL,pupal,13,114.6
R3,Large,18DOL,pupal,13,114.8
R3,Large,18DOL,pupal,13,106.8
R3,Large,18DOL,pupal,13,99.6
R3,Large,18DOL,pupal,13,104
R3,Large,18DOL,pupal,13,110
R3,Large,18DOL,pupal,13,99.6
R3,Large,18DOL,pupal,13,98.6
R3,Large,18DOL,pupal,13,134.3
R3,Large,18DOL,pupal,13,107.6
R3,Large,18DOL,pupal,13,102.6
R3,Large,18DOL,pupal,13,119.1
R3,Large,18DOL,pupal,13,148.9
R3,Large,18DOL,pupal,13,103.7
R3,Large,18DOL,pupal,13,95.7
R3,Large,18DOL,pupal,13,115.7
R3,Large,18DOL,pupal,13,115.1
R3,Large,18DOL,pupal,13,140.5
R3,Large,18DOL,pupal,13,122.8
R3,Large,18DOL,pupal,13,117.1
R3,Large,18DOL,pupal,13,104.1
R3,Large,18DOL,pupal,13,132
R3,Large,18DOL,pupal,13,97.3
R3,Large,18DOL,pupal,13,101.1
R3,Large,18DOL,pupal,13,107.8
R3,Large,18DOL,pupal,13,104.4
R3,Large,18DOL,pupal,13,102.5
R3,Large,18DOL,pupal,13,128.5
R3,Large,18DOL,pupal,13,97.3
R3,Large,18DOL,pupal,13,111.3
R3,Large,18DOL,pupal,13,134.3
R3,Large,18DOL,pupal,13,102.6
R3,Large,18DOL,pupal,13,122.1
R3,Large,18DOL,pupal,13,121.3
R3,Large,18DOL,pupal,13,106.2
R3,Large,18DOL,pupal,13,99.3
R3,Large,18DOL,pupal,13,100.1
R3,Large,18DOL,pupal,13,102.9
R3,Large,18DOL,pupal,13,114
R3,Large,18DOL,pupal,13,137.8
R3,Large,18DOL,pupal,13,116.4
R3,Large,18DOL,pupal,13,117.1
R3,Large,18DOL,pupal,13,100.9
R3,Large,18DOL,pupal,13,134.4
R3,Large,18DOL,pupal,13,115.1
R3,Large,18DOL,pupal,13,98.7
R3,Large,18DOL,pupal,13,107.3
