X,Label,Area,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,Replicate,Generation,Line
501,control_3.jpg,0.414,1.596,0.33,84.797,0.401,1.592,916,1102,77.969,0.368,4.83,0.207,0.883,924,1041,R1,G1,Control
871,Control 4.jpg,0.462,1.682,0.35,177.103,0.401,1.662,3023,1654,175.764,0.354,4.81,0.208,0.932,3072,1641,R1,G2,Control
178,control_batch_01.jpg,0.442,1.638,0.344,83.402,0.401,1.641,782,1431,74.667,0.406,4.767,0.21,0.836,790,1369,R1,G1,Control
937,Large 3.jpg,0.708,2.061,0.438,2.274,0.401,2.027,3364,2620,177.316,0.47,4.711,0.212,0.913,3502,2592,R1,G3,Large_responce
1522,Large 5.jpg,0.779,2.159,0.459,3.515,0.401,2.113,3779,2215,3.719,0.465,4.702,0.213,0.932,3937,2184,R1,G3,Large_responce
624,Control 5.jpg,0.646,1.952,0.421,170.646,0.401,1.951,860,1666,164.798,0.464,4.633,0.216,0.901,883,1657,R1,G2,Control
105,Control 3.jpg,0.554,1.808,0.39,171.684,0.401,1.819,827,1476,165.338,0.411,4.632,0.216,0.924,847,1470,R1,G2,Control
68,Large 4.jpg,0.65,1.95,0.425,178.245,0.401,1.913,2650,984,172.718,0.423,4.59,0.218,0.927,2656,981,R1,G3,Large_responce
61,Large 4.jpg,0.651,1.951,0.425,178.398,0.401,1.942,2450,942,177.821,0.432,4.592,0.218,0.932,2470,924,R1,G3,Large_responce
1169,Large 2.jpg,0.629,1.907,0.42,178.525,0.401,1.886,2875,2027,174.544,0.448,4.541,0.22,0.905,2878,2019,R1,G3,Large_responce
1127,Control 1.jpg,0.597,1.855,0.41,178.219,0.401,1.848,2626,1897,172.363,0.449,4.527,0.221,0.897,2631,1893,R1,G2,Control
50,Large 4.jpg,0.689,1.982,0.443,167.648,0.401,1.959,1133,856,166.936,0.465,4.478,0.223,0.915,1147,840,R1,G3,Large_responce
817,Control 4.jpg,0.487,1.66,0.373,177.005,0.401,1.667,921,1161,169.035,0.41,4.445,0.225,0.887,1028,1148,R1,G2,Control
1648,control_11.jpg,0.444,1.564,0.362,80.984,0.401,1.646,199,1173,82.875,0.437,4.325,0.231,0.788,205,1109,R1,G1,Control
1012,Control 4.jpg,0.637,1.863,0.436,9.905,0.401,1.911,782,1947,14.759,0.458,4.276,0.234,0.882,909,1889,R1,G3,Control
7,Control 3.jpg,0.587,1.733,0.431,4.999,0.401,1.728,522,616,10.599,0.438,4.021,0.249,0.899,638,573,R1,G3,Control
547,batch6.jpeg,0.73,1.929,0.482,86.774,0.401,1.958,1024,1559,86.386,0.492,4.005,0.25,0.907,1028,1464,R1,G7,Large_responce
1159,Control 6.jpg,0.827,2.054,0.513,60.697,0.401,2.021,675,1698,59.906,0.527,4.007,0.25,0.925,776,1522,R1,G3,Control
131,batch4.jpeg,0.553,1.67,0.422,98,0.401,1.656,412,733,98.637,0.445,3.96,0.253,0.903,412,733,R1,G7,Control
422,Large 1.jpg,0.785,1.982,0.504,6.061,0.401,1.969,3561,1381,4.917,0.506,3.933,0.254,0.923,3685,1351,R1,G3,Large_responce
245,batch5.jpeg,0.895,2.116,0.538,82.059,0.401,2.151,749,1584,83.962,0.541,3.933,0.254,0.925,759,1480,R1,G7,Large_responce
1463,Large 5.jpg,0.983,2.215,0.565,4.389,0.401,2.261,3555,1811,3.743,0.566,3.92,0.255,0.915,3679,1779,R1,G3,Large_responce
254,Large 4.jpg,0.988,2.207,0.57,3.44,0.401,2.159,2463,2281,4.764,0.57,3.872,0.258,0.938,2622,2245,R1,G3,Large_responce
1318,batch5.jpeg,0.661,1.76,0.478,92.776,0.401,1.829,717,1180,98.31,0.485,3.679,0.272,0.892,717,1180,R1,G4,Large_responce
1394,Control 5.jpg,0.785,1.917,0.521,0.025,0.401,1.918,3015,1883,177.923,0.517,3.676,0.272,0.936,3069,1863,R1,G3,Control
1676,batch5.jpeg,0.858,2,0.546,94.404,0.401,2.02,904,788,93.4,0.549,3.66,0.273,0.91,904,788,R1,G6,Large_responce
518,batch2.jpeg,0.639,1.721,0.473,94.072,0.401,1.765,343,570,97.512,0.479,3.639,0.275,0.917,343,570,R1,G7,Control
55,Control 3.jpg,0.617,1.624,0.484,0.907,0.401,1.65,1663,922,3.2,0.5,3.357,0.298,0.904,1771,894,R1,G2,Control
116,batch4.jpeg,0.621,1.621,0.488,88.828,0.401,1.797,975,744,82.711,0.516,3.321,0.301,0.787,985,658,R1,G7,Control
380,batch6.jpeg,0.489,1.416,0.44,89.209,0.401,1.483,1181,460,93.18,0.447,3.222,0.31,0.859,1181,460,R1,G7,Large_responce
617,control_9.jpg,0.512,1.838,0.355,77.585,0.402,1.789,506,761,75.964,0.382,5.184,0.193,0.898,521,693,R1,G1,Control
928,control_4.jpg,0.49,1.771,0.353,84.467,0.402,1.738,277,969,86.634,0.402,5.022,0.199,0.874,279,901,R1,G1,Control
282,Control 1.jpg,0.644,1.998,0.41,0.862,0.402,1.951,3701,552,3.795,0.417,4.872,0.205,0.928,3781,525,R1,G3,Control
584,control_9.jpg,0.419,1.596,0.334,112.942,0.402,1.566,572,405,109.026,0.368,4.776,0.209,0.863,572,405,R1,G1,Control
1670,Control 6.jpg,0.506,1.753,0.368,173.296,0.402,1.723,3164,2373,172.495,0.375,4.767,0.21,0.93,3186,2363,R1,G2,Control
1127,batch4.jpeg,0.449,1.636,0.35,87.366,0.402,1.642,431,889,81.254,0.389,4.68,0.214,0.886,440,824,R1,G7,Large_responce
917,control_4.jpg,0.645,1.956,0.42,95.119,0.402,1.942,1003,784,99.834,0.453,4.66,0.215,0.887,1003,784,R1,G1,Control
1058,Control 1.jpg,0.542,1.79,0.385,178.849,0.402,1.767,1481,1186,172.011,0.417,4.645,0.215,0.894,1482,1184,R1,G2,Control
1286,Control 5.jpg,0.61,1.902,0.408,178.514,0.402,1.87,2491,1059,177.259,0.427,4.656,0.215,0.915,2544,1040,R1,G3,Control
1138,control_6.jpg,0.468,1.657,0.359,72.552,0.402,1.655,310,1449,70.168,0.417,4.614,0.217,0.863,331,1388,R1,G1,Control
735,batch3.jpeg,0.515,1.734,0.378,93.348,0.402,1.73,464,1191,92.021,0.427,4.586,0.218,0.87,464,1191,R1,G4,Large_responce
234,Control 2.jpg,0.589,1.854,0.405,179.893,0.402,1.832,790,346,178.72,0.413,4.58,0.218,0.925,856,328,R1,G2,Control
1027,control_6.jpg,0.438,1.595,0.35,104.551,0.402,1.614,389,465,108.435,0.39,4.56,0.219,0.858,389,465,R1,G1,Control
475,Control 1.jpg,0.722,2.047,0.449,171.419,0.402,2.026,1334,2113,172.108,0.482,4.559,0.219,0.915,1377,2090,R1,G3,Control
1264,Control 5.jpg,0.79,2.116,0.475,7.378,0.402,2.089,3204,920,8.477,0.516,4.451,0.225,0.919,3390,871,R1,G3,Control
301,Large 4.jpg,0.589,1.814,0.413,177.781,0.402,1.762,3434,2703,173.47,0.431,4.389,0.228,0.921,3527,2688,R1,G3,Large_responce
1691,Large 6.jpg,0.499,1.666,0.382,176.336,0.402,1.668,1413,1947,2.899,0.417,4.364,0.229,0.896,1436,1910,R1,G3,Large_responce
78,Large 4.jpg,0.569,1.773,0.409,179.808,0.402,1.775,1794,1028,172.833,0.451,4.338,0.231,0.872,1799,1025,R1,G3,Large_responce
211,Control 3.jpg,0.704,1.954,0.459,179.392,0.402,1.925,2287,2446,173.593,0.487,4.258,0.235,0.914,2425,2423,R1,G2,Control
74,batch5.jpeg,0.912,2.217,0.524,90.859,0.402,2.249,457,453,94.72,0.514,4.231,0.236,0.917,457,453,R1,G7,Large_responce
495,Control 1.jpg,0.588,1.757,0.426,102.349,0.402,1.75,467,2258,96.52,0.49,4.127,0.242,0.878,467,2258,R1,G3,Control
1417,Control 7.jpg,0.466,1.562,0.38,10.576,0.402,1.611,851,2535,17.745,0.417,4.106,0.244,0.881,998,2486,R1,G2,Control
236,Control 2.jpg,0.458,1.548,0.377,14.832,0.402,1.562,361,395,21.523,0.413,4.106,0.244,0.892,500,338,R1,G2,Control
248,Large 4.jpg,0.738,1.958,0.48,178.787,0.402,1.929,1801,2246,174.352,0.485,4.079,0.245,0.937,1930,2228,R1,G3,Large_responce
1085,Large 2.jpg,0.757,1.98,0.487,176.936,0.402,1.961,1991,1455,179.384,0.489,4.068,0.246,0.925,2010,1427,R1,G3,Large_responce
1121,Control 4.jpg,0.694,1.853,0.477,13.778,0.402,1.791,489,3026,12.494,0.505,3.884,0.257,0.884,641,2969,R1,G3,Control
154,batch2.jpeg,0.646,1.736,0.474,75.387,0.402,1.745,1071,779,70.931,0.484,3.663,0.273,0.91,1098,698,R1,G4,Control
161,batch6.jpeg,0.707,1.803,0.499,95.386,0.402,1.776,342,806,98.246,0.529,3.612,0.277,0.919,342,806,R1,G4,Large_responce
25,batch2.jpeg,0.583,1.63,0.455,88.916,0.402,1.657,1283,130,84.359,0.448,3.58,0.279,0.909,1288,49,R1,G4,Control
494,batch6.jpeg,0.712,1.797,0.504,81.906,0.402,1.827,1190,1286,78.311,0.508,3.561,0.281,0.899,1206,1199,R1,G7,Large_responce
148,batch3.jpeg,0.618,1.665,0.473,177.494,0.402,1.691,587,648,177.93,0.475,3.523,0.284,0.906,596,636,R1,G4,Control
113,batch6.jpeg,0.684,1.744,0.499,88.8,0.402,1.841,250,685,85.236,0.535,3.493,0.286,0.829,255,613,R1,G4,Large_responce
1803,batch5.jpg,0.791,1.861,0.541,12.213,0.402,1.998,300,1580,7.765,0.556,3.437,0.291,0.895,458,1542,R1,G6,Control
438,batch2.jpeg,0.797,1.863,0.545,94.218,0.402,1.88,1058,1154,95.587,0.54,3.421,0.292,0.924,1058,1154,R1,G4,Large_responce
610,batch2.jpeg,0.585,1.585,0.47,66.133,0.402,1.627,315,1406,69.341,0.488,3.372,0.297,0.851,336,1345,R1,G7,Large_responce
1406,control_5.jpg,0.468,1.739,0.343,33.612,0.403,1.699,221,1386,32.735,0.411,5.073,0.197,0.846,270,1349,R1,G1,Control
893,Control 4.jpg,0.482,1.746,0.352,172.622,0.403,1.708,3018,1825,173.811,0.364,4.962,0.202,0.921,3043,1814,R1,G2,Control
269,batch1.jpeg,0.623,1.94,0.409,94.075,0.403,1.906,639,1233,93.972,0.46,4.75,0.211,0.875,639,1233,R1,G5,Large_responce
1172,control_8.jpg,0.533,1.772,0.383,80.932,0.403,1.747,480,431,83.29,0.411,4.627,0.216,0.88,485,363,R1,G1,Control
727,batch3.jpeg,0.688,1.999,0.438,90.143,0.403,1.98,605,481,84.936,0.495,4.561,0.219,0.878,611,402,R1,G7,Large_responce
998,Control 1.jpg,0.711,2.035,0.445,0.335,0.403,2.006,3096,562,1.169,0.457,4.57,0.219,0.903,3155,538,R1,G2,Control
292,Control 2.jpg,0.426,1.573,0.345,167.028,0.403,1.576,3494,848,160.271,0.368,4.565,0.219,0.914,3495,847,R1,G2,Control
578,control_9.jpg,0.442,1.596,0.353,97.228,0.403,1.561,886,371,101.31,0.394,4.526,0.221,0.877,886,371,R1,G1,Control
1182,Control 6.jpg,0.594,1.849,0.409,75.794,0.403,1.821,3473,2177,80.897,0.431,4.523,0.221,0.905,3501,1996,R1,G3,Control
21,batch1.jpeg,0.802,2.137,0.478,84.636,0.403,2.159,770,262,78.003,0.548,4.475,0.223,0.868,781,182,R1,G5,Large_responce
154,Control 3.jpg,0.563,1.793,0.4,0.836,0.403,1.76,1590,1882,173.66,0.439,4.488,0.223,0.892,1591,1881,R1,G2,Control
1322,batch4.jpg,0.514,1.704,0.384,178.965,0.403,1.701,2103,1190,2.358,0.424,4.441,0.225,0.893,2262,1171,R1,G6,Control
1240,Large 2.jpg,0.731,1.991,0.467,20.76,0.403,2.01,460,2558,24.817,0.503,4.259,0.235,0.892,625,2474,R1,G3,Large_responce
1378,Large 5.jpg,0.686,1.915,0.456,170.862,0.403,1.931,3773,1174,162.851,0.52,4.197,0.238,0.861,3773,1174,R1,G3,Large_responce
700,batch3.jpeg,0.778,1.992,0.497,85.667,0.403,1.957,282,375,84.144,0.52,4.006,0.25,0.92,289,297,R1,G7,Large_responce
1655,control_11.jpg,0.423,1.454,0.37,77.992,0.403,1.533,1037,1208,71.565,0.464,3.929,0.255,0.758,1051,1151,R1,G1,Control
1704,batch5.jpeg,0.671,1.829,0.467,96.309,0.403,2.013,805,938,100.864,0.482,3.916,0.255,0.888,805,938,R1,G6,Large_responce
7,batch1.jpeg,0.616,1.745,0.449,96.446,0.403,1.784,1165,58,102.051,0.466,3.884,0.257,0.916,1165,58,R1,G4,Control
422,C2.jpeg,0.662,1.796,0.47,91.639,0.403,1.809,1089,228,94.145,0.471,3.823,0.262,0.92,1089,228,R1,G5,Control
1530,Large 5.jpg,0.638,1.759,0.462,8.065,0.403,1.739,1351,2273,8.72,0.461,3.81,0.262,0.928,1458,2238,R1,G3,Large_responce
1101,Control 1.jpg,0.692,1.825,0.483,178.88,0.403,1.875,2394,1643,173.108,0.517,3.781,0.264,0.863,2402,1639,R1,G2,Control
489,Control 1.jpg,0.866,2.018,0.546,175.147,0.403,2.104,3714,2230,174.855,0.544,3.694,0.271,0.913,3761,2215,R1,G3,Control
565,batch2.jpeg,0.502,1.532,0.417,87.194,0.403,1.551,941,1220,86.309,0.424,3.673,0.272,0.895,944,1158,R1,G7,Large_responce
498,Control 1.jpg,0.785,1.908,0.523,179.059,0.403,1.96,832,2312,176.804,0.536,3.645,0.274,0.893,934,2290,R1,G3,Control
113,batch5.jpeg,0.726,1.831,0.505,86.591,0.403,1.833,1054,782,86.785,0.517,3.626,0.276,0.92,1055,693,R1,G7,Large_responce
578,Control 2.jpg,0.799,1.922,0.53,176.75,0.403,1.909,1065,745,177.614,0.539,3.628,0.276,0.936,1097,718,R1,G3,Control
301,batch1.jpg,0.673,1.712,0.501,171.143,0.403,1.71,3244,2110,169.216,0.508,3.42,0.292,0.931,3297,2095,R1,G6,Control
144,batch4.jpeg,0.509,1.481,0.438,86.712,0.403,1.642,1148,893,85.657,0.478,3.383,0.296,0.768,1146,814,R1,G7,Control
677,control_9.jpg,0.46,1.737,0.338,52.473,0.404,1.706,611,1217,55.359,0.38,5.146,0.194,0.861,646,1162,R1,G1,Control
632,control_9.jpg,0.369,1.513,0.31,99.509,0.404,1.491,1009,797,96.882,0.349,4.88,0.205,0.858,1009,797,R1,G1,Control
995,control_6.jpg,0.556,1.856,0.381,103.24,0.404,1.849,143,208,110.186,0.416,4.866,0.205,0.882,143,208,R1,G1,Control
94,Large 4.jpg,0.384,1.524,0.321,8.33,0.404,1.514,1377,1198,12.875,0.334,4.753,0.21,0.917,1510,1162,R1,G3,Large_responce
93,batch6.jpeg,0.56,1.839,0.388,94.455,0.404,1.819,646,616,93.318,0.434,4.743,0.211,0.889,646,616,R1,G5,Control
918,Control 4.jpg,0.65,1.963,0.421,172.68,0.404,1.936,3659,2035,171.185,0.433,4.659,0.215,0.917,3720,2024,R1,G2,Control
634,batch3.jpeg,0.544,1.788,0.387,87.125,0.404,1.783,891,96,83.571,0.424,4.617,0.217,0.861,897,25,R1,G7,Large_responce
1488,control_7.jpg,0.349,1.427,0.311,89.341,0.404,1.412,504,839,96.226,0.306,4.582,0.218,0.891,504,839,R1,G1,Control
1199,Large 2.jpg,0.769,2.108,0.464,0.109,0.404,2.116,2634,2230,4.574,0.481,4.539,0.22,0.908,2713,2206,R1,G3,Large_responce
1612,Control 6.jpg,0.612,1.881,0.414,179.027,0.404,1.839,1166,1912,174.892,0.43,4.544,0.22,0.926,1176,1902,R1,G2,Control
610,Control 2.jpg,0.725,2.041,0.452,179.536,0.404,2.027,3459,987,178.877,0.459,4.515,0.221,0.918,3497,969,R1,G3,Control
1116,batch4.jpeg,0.518,1.724,0.382,91.51,0.404,1.752,1047,872,85.914,0.453,4.51,0.222,0.805,1048,802,R1,G7,Large_responce
408,batch2.jpeg,0.618,1.88,0.418,96.704,0.404,1.908,935,394,94.764,0.483,4.494,0.222,0.86,935,394,R1,G5,Large_responce
1428,batch4.jpeg,0.529,1.742,0.387,90.61,0.404,1.749,841,1385,83.443,0.444,4.503,0.222,0.862,849,1298,R1,G6,Large_responce
1500,control_7.jpg,0.517,1.717,0.383,88.621,0.404,1.717,817,1032,78.857,0.456,4.478,0.223,0.836,818,966,R1,G1,Control
1138,Control 6.jpg,0.546,1.761,0.395,69.351,0.404,1.752,2157,1032,65.906,0.411,4.464,0.224,0.896,2227,871,R1,G3,Control
270,Control 2.jpg,0.55,1.762,0.397,2.402,0.404,1.75,1826,657,6.377,0.416,4.435,0.225,0.914,1977,633,R1,G2,Control
1751,Large 6.jpg,0.951,2.312,0.524,178,0.404,2.274,3333,2565,175.479,0.578,4.415,0.226,0.896,3487,2542,R1,G3,Large_responce
1543,Control 6.jpg,0.67,1.933,0.441,9.753,0.404,1.931,1371,1383,12.858,0.49,4.38,0.228,0.885,1508,1329,R1,G2,Control
314,Control 1.jpg,0.649,1.87,0.442,4.211,0.404,1.873,2245,786,7.313,0.49,4.23,0.236,0.888,2419,749,R1,G3,Control
1496,Control 6.jpg,0.571,1.739,0.418,169.892,0.404,1.765,1797,913,164.191,0.457,4.159,0.24,0.891,1799,909,R1,G2,Control
558,batch2.jpeg,0.615,1.804,0.434,83.112,0.404,1.831,576,1213,78.996,0.47,4.154,0.241,0.85,589,1141,R1,G7,Large_responce
834,Control 4.jpg,0.611,1.795,0.433,174.249,0.404,1.798,3733,566,167.883,0.446,4.143,0.241,0.917,3734,565,R1,G3,Control
1367,Control 7.jpg,0.502,1.605,0.398,175.107,0.404,1.667,2428,2049,173.66,0.409,4.031,0.248,0.877,2448,2037,R1,G2,Control
150,batch7.jpeg,0.85,2.066,0.524,86.195,0.404,2.092,1295,1234,83.962,0.543,3.945,0.253,0.862,1305,1130,R1,G7,Large_responce
757,batch3.jpeg,0.449,1.493,0.383,79.265,0.404,1.536,540,586,82.528,0.411,3.902,0.256,0.846,546,525,R1,G7,Large_responce
1002,Large 2.jpg,0.653,1.799,0.462,4.448,0.404,1.781,1318,945,8.514,0.461,3.89,0.257,0.939,1426,906,R1,G3,Large_responce
28,batch6.jpeg,0.723,1.885,0.489,92.186,0.404,1.974,1200,154,91.157,0.492,3.857,0.259,0.877,1200,154,R1,G7,Control
15,Control 3.jpg,0.648,1.782,0.463,175.868,0.404,1.748,3466,654,171.501,0.467,3.846,0.26,0.939,3518,640,R1,G3,Control
239,batch5.jpeg,0.773,1.906,0.516,92.973,0.404,1.942,416,1420,95.469,0.542,3.692,0.271,0.875,416,1420,R1,G7,Large_responce
263,batch5.jpeg,0.749,1.875,0.508,94.964,0.404,1.853,344,1559,98.94,0.533,3.687,0.271,0.895,344,1559,R1,G7,Large_responce
782,control_10.jpg,0.503,1.523,0.42,70.194,0.404,1.669,323,806,66.571,0.542,3.626,0.276,0.712,344,745,R1,G1,Control
241,batch1.jpeg,0.591,1.647,0.457,89.108,0.404,1.663,674,1257,84.026,0.462,3.603,0.278,0.905,682,1171,R1,G7,Control
163,batch4.jpeg,0.555,1.589,0.444,85.458,0.404,1.653,1303,986,82.073,0.47,3.574,0.28,0.862,1313,907,R1,G7,Control
413,Control 1.jpg,0.66,1.719,0.489,21.916,0.404,1.728,1515,1653,22.291,0.531,3.517,0.284,0.916,1647,1571,R1,G3,Control
573,control_9.jpg,0.515,1.505,0.436,5.582,0.404,1.666,534,346,5.274,0.55,3.453,0.29,0.733,591,337,R1,G1,Control
1196,batch4.jpeg,0.491,1.435,0.436,85.169,0.404,1.5,1040,1238,87.138,0.445,3.293,0.304,0.86,1042,1178,R1,G7,Large_responce
1142,batch4.jpeg,0.476,1.709,0.355,75.51,0.405,1.708,328,964,74.745,0.384,4.817,0.208,0.883,343,898,R1,G7,Large_responce
27,batch6.jpeg,0.496,1.735,0.364,93.495,0.405,1.719,327,287,96.633,0.396,4.766,0.21,0.911,327,287,R1,G4,Control
1094,Large 2.jpg,0.563,1.839,0.39,179.453,0.405,1.831,3295,1502,175.045,0.393,4.717,0.212,0.923,3373,1497,R1,G3,Large_responce
1226,control_8.jpg,0.464,1.664,0.355,70.658,0.405,1.638,558,1007,71.847,0.393,4.683,0.214,0.847,575,946,R1,G1,Control
1266,control_8.jpg,0.459,1.652,0.354,56.001,0.405,1.656,388,1383,56.31,0.404,4.67,0.214,0.857,421,1329,R1,G1,Control
899,C3.jpeg,0.481,1.689,0.363,85.143,0.405,1.698,936,697,80.248,0.414,4.656,0.215,0.856,946,633,R1,G5,Control
1597,Control 6.jpg,0.546,1.793,0.388,0.32,0.405,1.788,880,1800,174.746,0.407,4.624,0.216,0.918,1006,1779,R1,G2,Control
792,control_10.jpg,0.425,1.567,0.346,91.494,0.405,1.587,308,878,94.611,0.397,4.534,0.221,0.831,308,878,R1,G1,Control
1373,Control 7.jpg,0.589,1.843,0.407,2.698,0.405,1.814,2219,2109,176.444,0.44,4.527,0.221,0.911,2364,2083,R1,G2,Control
1442,Control 6.jpg,0.657,1.934,0.432,1.282,0.405,1.903,598,476,0.616,0.441,4.474,0.224,0.925,685,453,R1,G2,Control
240,Control 2.jpg,0.45,1.578,0.363,179.594,0.405,1.59,568,388,4.427,0.417,4.349,0.23,0.858,599,353,R1,G2,Control
120,batch4.jpeg,0.52,1.697,0.39,100.43,0.405,1.689,1183,696,104.207,0.412,4.349,0.23,0.899,1183,696,R1,G7,Control
1339,Control 5.jpg,0.572,1.773,0.41,1.285,0.405,1.774,2049,1493,7.722,0.445,4.318,0.232,0.904,2090,1450,R1,G3,Control
56,Control 3.jpg,0.639,1.868,0.436,173.996,0.405,1.881,1760,985,170.886,0.467,4.288,0.233,0.914,1819,973,R1,G3,Control
309,Large 1.jpg,0.617,1.836,0.428,0.842,0.405,1.809,1934,578,175.32,0.439,4.292,0.233,0.916,2014,570,R1,G3,Large_responce
205,Control 3.jpg,0.654,1.889,0.441,8.878,0.405,1.921,1217,2395,12.926,0.45,4.285,0.233,0.921,1389,2350,R1,G2,Control
18,Large 4.jpg,0.63,1.825,0.439,2.195,0.405,1.806,1576,669,176.653,0.456,4.154,0.241,0.916,1676,659,R1,G3,Large_responce
417,batch2.jpeg,0.53,1.669,0.404,90.927,0.405,1.679,629,460,95.117,0.435,4.129,0.242,0.842,629,460,R1,G7,Large_responce
775,control_10.jpg,0.402,1.447,0.353,93.51,0.405,1.541,479,692,96.654,0.423,4.094,0.244,0.795,479,692,R1,G1,Control
1440,control_7.jpg,0.452,1.516,0.38,87.089,0.405,1.573,735,423,81.607,0.456,3.992,0.251,0.791,740,362,R1,G1,Control
190,batch5.jpeg,0.864,2.084,0.528,89.198,0.405,2.081,736,1254,86.6,0.535,3.947,0.253,0.906,741,1153,R1,G7,Large_responce
619,control_9.jpg,0.436,1.476,0.376,76.915,0.405,1.577,976,769,80.69,0.472,3.919,0.255,0.753,985,708,R1,G1,Control
435,Control 2.jpg,0.547,1.649,0.423,168.654,0.405,1.623,788,2224,166.139,0.422,3.901,0.256,0.922,820,2213,R1,G2,Control
280,batch4.jpeg,0.657,1.785,0.469,89.889,0.405,1.783,492,1478,91.332,0.477,3.809,0.263,0.925,492,1478,R1,G7,Control
340,batch2.jpeg,0.603,1.707,0.45,92.67,0.405,1.702,712,1470,96.87,0.454,3.794,0.264,0.92,712,1470,R1,G4,Control
1031,Control 1.jpg,0.531,1.599,0.423,177.794,0.405,1.605,3212,920,173.781,0.426,3.782,0.264,0.922,3266,913,R1,G2,Control
522,Control 1.jpg,0.894,2.066,0.551,3.805,0.405,2.036,1541,2539,5.599,0.563,3.75,0.267,0.934,1702,2499,R1,G3,Control
57,Control 3.jpg,0.606,1.697,0.455,171.886,0.405,1.689,1863,947,170.937,0.49,3.732,0.268,0.885,1900,934,R1,G2,Control
808,batch2.jpeg,0.51,1.554,0.417,61.334,0.405,1.583,1038,1831,62.501,0.445,3.723,0.269,0.85,1074,1758,R1,G7,Control
970,batch4.jpeg,0.694,1.791,0.493,91.712,0.405,1.858,380,917,95.024,0.529,3.63,0.275,0.839,380,917,R1,G4,Large_responce
136,batch1.jpeg,0.736,1.844,0.508,84.834,0.405,1.819,275,1042,84.226,0.535,3.633,0.275,0.914,280,953,R1,G4,Large_responce
250,batch6.jpeg,0.691,1.76,0.5,90.385,0.405,1.795,908,1285,83.48,0.51,3.518,0.284,0.896,911,1215,R1,G4,Large_responce
108,Control 3.jpg,0.656,1.697,0.492,0.253,0.405,1.753,2065,1496,3.681,0.501,3.451,0.29,0.863,2130,1472,R1,G2,Control
379,control_batch_02.jpg,0.456,1.714,0.339,4.368,0.406,1.662,923,1384,176.479,0.365,5.054,0.198,0.887,967,1375,R1,G1,Control
1355,control_5.jpg,0.296,1.38,0.273,93.179,0.406,1.358,1021,851,84.611,0.295,5.059,0.198,0.888,1023,798,R1,G1,Control
